county_name,county_code,disruption_rate,mean_WVI,pct_critical_WVI,pct_piped,pct_female_headed,efficiency,quality,continuity,tariff,providers,storage,pipes,pop_served,n_eff,n_qual,n_cont,n_prov,n_stor,n_pipe,n_pop,n_tariff,n_disrupt,WGS,WGS_tier,mean_pred_risk,pop_2019,pop_2026_est,citizens_disrupted_2026,citizens_critical_wvi_2026,primary_intervention,urgency_score,urgency_tier,equity_flag
Baringo,30,0.005235602094240838,0.10557758510278463,0.007853403141361256,0.005235602094240838,0.3298429319371728,1.0,1.0,2.0,5.5,2,804330,737.0,500,0.9999999899208861,0.0,0.9999999900000002,0.15384615372781063,0.010801644141496983,0.07424196635431222,0.0002737766836444699,0.8043478,0.9815797261703311,0.44723234001421186,Moderate,0.005102474469117175,666763,780740,3984,6131,Sustain & Share Best Practice,0.29019742154101336,Moderate,False
Bomet,36,0.004739336492890996,0.0804948654485434,0.0,0.002369668246445498,0.3056872037914692,0.8982785602503912,1.0,1.0,24.0,1,2005094,852.0,440,0.8974737929787834,0.0,0.0,0.07692307686390532,0.026927146641615697,0.0858265336958942,0.00024092348160713352,0.0,0.9833257236897309,0.23007968859461517,Low Governance,0.009217615748961279,875689,1025380,9452,0,Tariff Reform,0.3085450655595507,Moderate,False
Bungoma,39,0.008658008658008658,0.07312336451291257,0.0,0.004329004329004329,0.30303030303030304,1.0,1.0,1.0,7.0,1,3401445,1539.0,5000,0.9999999899208861,0.0,0.0,0.07692307686390532,0.04567925908131514,0.15503173164082296,0.002737766836444699,0.73913044,0.9695387679526687,0.3321156699633509,Moderate,0.007617228010508438,1670570,1956139,14900,0,Governance Capacity Building,0.2868831459506782,Moderate,False
Busia,40,0.014563106796116505,0.12814730212294068,0.0048543689320388345,0.009708737864077669,0.3300970873786408,1.0,1.0,2.0,1.0,1,896432,397.0,2000,0.9999999899208861,0.0,0.9999999900000002,0.07692307686390532,0.012038515859224976,0.03999194117050469,0.0010951067345778796,1.0,0.9487630247359209,0.4532012939205578,Moderate,0.007888963211492067,893681,1046448,8255,5080,Sustain & Share Best Practice,0.3084359875131297,Moderate,False
Elgeyo-Marakwet,28,0.005115089514066497,-0.017780311580867077,0.0025575447570332483,0.015345268542199489,0.32225063938618925,1.0,2.0,2.0,5.0,2,1693500,8280.0,4000,0.9999999899208861,0.9999999900000002,0.9999999900000002,0.15384615372781063,0.022742635925086893,0.8340888485939013,0.0021902134691557593,0.82608694,0.9820037222431367,0.6467731646956858,Moderate,0.012597604412778253,454480,532169,6704,1361,Sustain & Share Best Practice,0.17742431913623838,Low,False
Embu,14,0.0960591133004926,-0.1756406591216015,0.0,0.007389162561576354,0.29064039408866993,0.9332549941245594,1.4,1.4,2.2,5,2169073,4491.0,12470,0.9327269387909394,0.39999999599999997,0.39999999599999997,0.3846153843195266,0.029129281094736347,0.4524025385308226,0.00682799049009308,0.9478261,0.662037882371419,0.46839623278581777,Moderate,0.10950961181154806,608599,712634,78040,0,Sustain & Share Best Practice,0.17935300833181841,Low,False
Garissa,7,0.002136752136752137,-0.16005354628539842,0.0,0.010683760683760684,0.34615384615384615,1.0,1.0,2.0,7.0,1,3000000,300.0,2500,0.9999999899208861,0.0,0.9999999900000002,0.07692307686390532,0.0402881061560441,0.030220610456300773,0.0013688834182223495,0.73913044,0.9924823241421651,0.4311570464812932,Moderate,0.00467905570670937,841353,985175,4610,0,Sustain & Share Best Practice,0.09937638459705754,Low,False
Homa Bay,43,0.004739336492890996,0.16187644989303954,0.018957345971563982,0.023696682464454975,0.38388625592417064,0.22587064676616916,1.0,1.0,2.0,1,292765,1052.0,5000,0.21974620346561147,0.0,0.0,0.07692307686390532,0.00393164913292475,0.10597360733342805,0.002737766836444699,0.95652175,0.9833257236897309,0.26101775297983393,Low Governance,0.007636719426272934,1131950,1325447,10122,25127,Infrastructure Investment,0.3616733894332062,High,False
Isiolo,11,0.08358208955223881,0.0828677353275773,0.0626865671641791,0.020895522388059702,0.3074626865671642,1.0,1.0,2.0,3.0,1,1685549,345.0,270,0.9999999899208861,0.0,0.9999999900000002,0.07692307686390532,0.02263585901440466,0.03475370202474589,0.00014783940916801374,0.9130435,0.7059354494296435,0.4170488228506304,Moderate,0.0694704131312693,268002,313815,21801,19672,Sustain & Share Best Practice,0.33574443708461,Moderate,False
Kajiado,34,0.031630170316301706,0.0975951377064407,0.038929440389294405,0.2116788321167883,0.3260340632603406,1.0,1.3333333333333333,2.0,3.3333333,3,1655255,479.0,6695,0.9999999899208861,0.33333333,0.9999999900000002,0.23076923059171597,0.022229029718440926,0.048252241361893565,0.003665869793999452,0.89855075,0.8887164478854794,0.4917240975663877,Moderate,0.03153860585701807,1117840,1308925,41282,50956,Sustain & Share Best Practice,0.30351887595655724,Moderate,False
Kakamega,37,0.01875,0.11078414621212389,0.0,0.0,0.2916666666666667,1.0,1.0,2.0,7.0,4,3869694,2148.0,1600,0.9999999899208861,0.0,0.9999999900000002,0.30769230745562126,0.051967547554468974,0.21637957086711354,0.0008760853876623037,0.73913044,0.9340323943474982,0.472230924767485,Moderate,0.011872368127844722,1867579,2186825,25963,0,Sustain & Share Best Practice,0.29773408208572966,Moderate,False
Kericho,35,0.014634146341463415,0.020122802549614502,0.0,0.0,0.25853658536585367,0.84,1.0,1.0,3.0,1,3212742,422.0,5000,0.8387341687614925,0.0,0.0,0.07692307686390532,0.04314509691599381,0.04251032537519642,0.002737766836444699,0.9130435,0.948513088271218,0.3184007802241301,Low Governance,0.01655405396437895,901777,1055928,17480,0,Governance Capacity Building,0.2584427106572999,Moderate,False
Kiambu,22,0.10344827586206896,-0.08255785389394016,0.0,0.03134796238244514,0.34169278996865204,0.96602658788774,1.3333333333333333,1.5555555555555556,4.111111,9,13639644,9927.0,35890,0.965757801159198,0.33333333,0.5555555500000001,0.6923076917751478,0.18317180846755,0.9999999999989926,0.01965169035200005,0.8647343,0.6360407963999898,0.5833947733536903,Moderate,0.1041179415092558,2417735,2831025,294760,0,Sustain & Share Best Practice,0.24069312036891255,Moderate,False
Kilifi,3,0.02534562211981567,-0.1438330041346565,0.002304147465437788,0.0,0.28110599078341014,0.9110512129380054,1.0,1.0,5.0,1,597782,3086.0,192,0.9103474950041074,0.0,0.0,0.07692307686390532,0.008027834891390785,0.3108693462271473,0.00010513024651947644,0.82608694,0.9108271997324091,0.3381318912607416,Moderate,0.0076765326563514175,1453787,1702299,13068,3922,Governance Capacity Building,0.12834074924799171,Low,False
Kirinyaga,20,0.028888888888888888,-0.11585797894043037,0.0,0.008888888888888889,0.3088888888888889,1.0,1.0,1.5,10.5,2,2729969,1856.0,10000,0.9999999899208861,0.0,0.4999999950000001,0.15384615372781063,0.03666176029156985,0.1869648433563141,0.005475533672889398,0.5869565,0.8983610224020713,0.3742517554865135,Moderate,0.01862044559163701,610411,714755,13309,0,Governance Capacity Building,0.15281517350603174,Low,False
Kisii,45,0.01568627450980392,0.23856855774385347,0.00980392156862745,0.00196078431372549,0.3862745098039216,0.9110512129380054,1.0,1.625,5.0,2,1693500,1199.0,5585,0.9103474950041074,0.0,0.6249999937500001,0.15384615372781063,0.022742635925086893,0.12078170645701543,0.003058085556308729,0.82608694,0.9448114148789527,0.4007416026311641,Moderate,0.00758982574955512,1266860,1483418,11259,14543,Sustain & Share Best Practice,0.39645191523337203,High,False
Kisumu,42,0.04035874439461883,-0.061926891902697234,0.0,0.017937219730941704,0.33856502242152464,0.47519455252918286,1.0,1.3333333333333333,3.3333333,3,65147,2991.0,12550,0.4710426059502343,0.0,0.33333333,0.23076923059171597,0.000874883083915935,0.3012994862493187,0.006871794759476194,0.89855075,0.8580069474744355,0.3445276696593522,Moderate,0.02257631789045284,1155574,1353109,30548,0,Infrastructure Investment,0.20114393169353692,Low,False
Kitui,15,0.005235602094240838,0.18744049428989618,0.04013961605584642,0.0034904013961605585,0.4031413612565445,0.9110512129380054,1.0,1.5,17.5,2,2206388,629.0,15500,0.9103474950041074,0.0,0.4999999950000001,0.15384615372781063,0.029630397988473944,0.06336254659004395,0.008487077192978566,0.2826087,0.9815797261703311,0.3255402310612667,Low Governance,0.0035532570800861016,1136187,1330408,4727,53402,Tariff Reform,0.36660277918914197,High,True
Kwale,2,0.00975609756097561,-0.014847880418209352,0.007317073170731708,0.01707317073170732,0.28292682926829266,0.7776298268974701,1.0,2.0,10.0,2,0,1518.0,10000,0.7758705613787863,0.0,0.9999999900000002,0.15384615372781063,0.0,0.1529162889088819,0.005475533672889398,0.6086956,0.965675392180812,0.4069421717920034,Moderate,0.008036166370798362,866820,1014995,8157,7427,Infrastructure Investment,0.2116497146034982,Low,False
Laikipia,31,0.06741573033707865,-0.08976158949000501,0.0044943820224719105,0.0,0.30337078651685395,0.1810918774966711,1.0,1.5,6.5,2,3604846,1592.0,7504,0.17461317223590758,0.0,0.4999999950000001,0.15384615372781063,0.04841080610806365,0.16037070615476942,0.004108840468136204,0.76086956,0.7628131032719034,0.28500359328805286,Low Governance,0.03240307142469344,518560,607203,19675,2729,Governance Capacity Building,0.19765364274272726,Low,False
Lamu,5,0.036011080332409975,-0.11792415790898071,0.0,0.0,0.22437673130193905,0.25,2.0,2.0,3.0,1,21247,50.0,1826306,0.24406645323622894,0.9999999900000002,0.9999999900000002,0.07692307686390532,0.000285333797165823,0.0050367684093834625,0.9999999999999946,0.9130435,0.8733032135205874,0.5680731472022429,Moderate,0.03235965004082564,143920,168522,5453,0,Infrastructure Investment,0.13367263098070425,Low,False
Machakos,16,0.038834951456310676,0.04921723380610897,0.003236245954692557,0.008090614886731391,0.313915857605178,0.7395833333333334,1.0,1.8571428571428572,3.7142856,8,1375584,1199.0,25200,0.7375230674609358,0.0,0.8571428485714288,0.6153846149112425,0.01847322473951859,0.12078170645701543,0.013798344855681283,0.8819876,0.8633680659624557,0.45649549385273186,Moderate,0.03388130237315697,1421932,1664999,56412,5388,Infrastructure Investment,0.2768122204757098,Moderate,False
Makueni,17,0.004889975550122249,0.09851308309863714,0.012224938875305624,0.0,0.4180929095354523,0.9190600522193212,1.5,1.5,7.0,2,1390882,383.0,9500,0.9184196952743261,0.4999999950000001,0.4999999950000001,0.15384615372781063,0.018678667222176978,0.03858164601587732,0.005201756989244928,0.73913044,0.9827957344671552,0.42851712011896737,Moderate,0.00851281400945776,987653,1156483,9845,14138,Sustain & Share Best Practice,0.29127759536058334,Moderate,True
Mandera,9,0.0,0.05014749266042803,0.0,0.005964214711729622,0.23856858846918488,0.9316909294512878,1.0,2.0,8.0,2,545420,910.0,12000,0.9311505002041798,0.0,0.9999999900000002,0.15384615372781063,0.007324646286543191,0.091669185050779,0.006570640407467278,0.6956522,1.0,0.4318014780608172,Moderate,0.0017852272935465357,867457,1015741,1813,0,Sustain & Share Best Practice,0.249202680289386,Moderate,False
Marsabit,10,0.015151515151515152,0.25501459303730517,0.03463203463203463,0.0021645021645021645,0.22727272727272727,1.0,1.5,1.5,4.0,2,67200,80.0,8700,0.9999999899208861,0.4999999950000001,0.4999999950000001,0.15384615372781063,0.0009024535778953878,0.008058829455013539,0.004763714295413776,0.86956525,0.9466928439171702,0.4426476914870633,Moderate,0.02104085448213622,459785,538381,11328,18645,Sustain & Share Best Practice,0.41386311187210617,High,False
Meru,12,0.043689320388349516,0.01857979438618392,0.0,0.021844660194174758,0.3325242718446602,0.8358085808580858,1.25,2.0,4.5,4,3734969,1475.0,33760,0.8345095897005926,0.24999999750000004,0.9999999900000002,0.30769230745562126,0.05015827585384462,0.14858466807681214,0.018485401679674607,0.8478261,0.8462890742077627,0.4781717141902131,Moderate,0.040097735982670635,1545714,1809940,72574,0,Sustain & Share Best Practice,0.25791162182009597,Moderate,False
Migori,44,0.034739454094292806,0.1231181919791861,0.0024813895781637717,0.019851116625310174,0.37220843672456577,1.0,1.0,2.0,1.0,1,125606,89.0,8800,0.9999999899208861,0.0,0.9999999900000002,0.07692307686390532,0.0016868092872786918,0.008965447768702563,0.00481846963214267,1.0,0.8777771408919735,0.44113010270720987,Moderate,0.033625923631093305,1116436,1307281,43959,3244,Sustain & Share Best Practice,0.33166051370969724,Moderate,False
Mombasa,1,0.08941176470588236,-0.13860322816197843,0.0,0.02823529411764706,0.2358490566037736,1.0,1.0,1.0,5.0,1,5927972,1600.0,2500,0.9999999899208861,0.0,0.0,0.07692307686390532,0.07960892174201901,0.1611765891002708,0.0013688834182223495,0.82608694,0.6854250648100304,0.31450994047072545,Low Governance,0.14279791586309454,1208333,1414887,202043,0,Governance Capacity Building,0.2673919276898096,Moderate,False
